Strategy,Iteration,Horizon,TargetBps,EntryThreshold,ExitThreshold,TrendMin,StopLossPct,TrailingStopPct,TakeProfitPct,MaxHoldBars,AvgReturnPct,MinReturnPct,MaxDrawdownPct,AvgSharpe,PositiveAssetCount,ObjectiveScore,MeetsStoppingConditions,AMD_ReturnPct,AMD_MaxDrawdownPct,AMD_Sharpe,AMD_Trades,AMZN_ReturnPct,AMZN_MaxDrawdownPct,AMZN_Sharpe,AMZN_Trades,GOOGL_ReturnPct,GOOGL_MaxDrawdownPct,GOOGL_Sharpe,GOOGL_Trades,NVDA_ReturnPct,NVDA_MaxDrawdownPct,NVDA_Sharpe,NVDA_Trades,AAPL_ReturnPct,AAPL_MaxDrawdownPct,AAPL_Sharpe,AAPL_Trades,META_ReturnPct,META_MaxDrawdownPct,META_Sharpe,META_Trades,TSLA_ReturnPct,TSLA_MaxDrawdownPct,TSLA_Sharpe,TSLA_Trades,NFLX_ReturnPct,NFLX_MaxDrawdownPct,NFLX_Sharpe,NFLX_Trades
per_asset_arx_v001_h3_e50,1,3,0.0,0.5,0.42,1.0,,,,,-6.409,-26.6434,31.3767,-0.62218,3,-125.070284,False,17.3418,29.6938,1.019409,2.0,-25.1404,31.3767,-2.572995,9.0,1.4553,14.3886,0.250706,7.0,-1.7526,19.3236,-0.039405,4.0,-15.0852,20.1979,-1.952457,8.0,-2.7395,18.153,-0.036425,6.0,-26.6434,29.4066,-1.879526,10.0,1.2918,22.1574,0.233255,5.0
per_asset_arx_v002_h5_e50,2,5,0.0,0.5,0.42,1.0,,,,,0.1678,-28.6849,31.3712,-0.628137,3,-122.571837,False,90.073,29.4219,2.588983,2.0,-21.8813,30.6827,-2.082287,10.0,2.6174,12.5867,0.346866,6.0,-6.8961,19.3236,-0.484456,4.0,-18.5204,19.8527,-2.457257,7.0,-17.7762,23.1167,-1.125914,7.0,-28.6849,31.3712,-2.122324,10.0,2.4112,21.2971,0.311292,4.0
per_asset_arx_v003_h7_e50,3,7,0.0,0.5,0.42,1.0,,,,,-0.3566,-26.4649,29.4219,-0.527859,2,-122.607817,False,76.0725,29.4219,2.393235,2.0,-10.6867,18.1272,-0.881973,7.0,-1.381,15.9237,0.007569,8.0,-6.3729,19.3236,-0.412414,4.0,-18.4241,18.3426,-2.653988,8.0,-18.0069,23.3324,-1.123475,9.0,-26.4649,29.2349,-1.863114,10.0,2.4112,21.2971,0.311292,4.0
per_asset_arx_v004_h10_e50,4,10,25.0,0.5,0.42,1.0,,,,,-0.1634,-30.6428,34.0283,-0.668686,1,-154.871298,False,97.2065,29.6938,2.627955,2.0,-22.2309,23.9332,-2.259678,9.0,-8.9176,17.2092,-0.673421,7.0,-3.8645,16.6733,-0.195742,3.0,-4.1719,11.8018,-0.390273,14.0,-13.2957,23.3313,-0.711386,10.0,-30.6428,34.0283,-2.254476,10.0,-15.3905,24.2848,-1.49247,6.0
per_asset_arx_v005_h15_e50,5,15,25.0,0.5,0.42,1.0,,,,,5.7356,-14.1364,29.6938,-0.006843,3,-81.632262,False,87.8278,29.6938,2.521974,2.0,-4.4066,13.664,-0.306885,10.0,4.6197,15.7665,0.515014,4.0,-8.2495,16.6733,-0.539479,3.0,5.7568,12.9169,0.709282,5.0,-13.475,23.4133,-0.715657,11.0,-14.1364,19.0667,-1.080723,6.0,-12.0518,21.2971,-1.158273,4.0
per_asset_arx_v006_h3_e54,6,3,25.0,0.54,0.46,1.0,,,,,-5.4257,-17.1292,29.6938,-0.624,2,-110.013487,False,17.3418,29.6938,1.019409,2.0,-14.1359,21.5705,-1.55416,10.0,8.0007,9.785,0.86899,6.0,-5.665,15.3679,-0.494845,5.0,-8.0499,9.5486,-1.316356,5.0,-17.1292,17.2943,-1.59518,4.0,-16.8153,19.9488,-1.264061,9.0,-6.9527,16.734,-0.655796,2.0
per_asset_arx_v007_h5_e54,7,5,50.0,0.54,0.46,1.0,,,,,4.9599,-24.8281,28.9023,-0.269019,3,-101.941237,False,79.2222,28.9023,2.535808,2.0,-13.9659,21.4152,-1.442111,12.0,-0.3179,9.785,0.074953,6.0,-1.4314,12.9991,-0.055885,6.0,-14.8396,16.7365,-2.152799,8.0,5.5528,8.2492,0.596333,5.0,-24.8281,26.9845,-2.567847,5.0,10.2871,15.2445,0.859399,1.0
per_asset_arx_v008_h7_e54,8,7,50.0,0.54,0.46,1.0,,,,,-2.1675,-17.2532,28.9023,-0.707472,2,-104.79573,False,59.7316,28.9023,2.143881,4.0,-16.0962,18.6581,-1.964536,6.0,2.0256,9.785,0.311197,5.0,-10.5037,19.243,-0.905764,5.0,-17.2532,17.3475,-2.493989,8.0,-16.7743,20.3086,-1.222427,7.0,-11.517,16.6425,-0.872338,6.0,-6.9527,16.734,-0.655796,2.0
per_asset_arx_v009_h10_e54,9,10,50.0,0.54,0.46,1.0,,,,,8.0717,-13.0118,29.4219,-0.068442,3,-76.354447,False,86.9321,29.4219,2.466096,2.0,-12.1896,12.5283,-1.601209,4.0,-0.9926,11.2509,0.00767,4.0,4.0678,13.0695,0.465399,2.0,-13.0118,13.0118,-1.8807,8.0,9.3679,13.1705,0.801153,9.0,-2.6472,12.326,-0.150149,1.0,-6.9527,16.734,-0.655796,2.0
per_asset_arx_v010_h15_e54,10,15,75.0,0.54,0.46,1.0,,,,,10.5252,-16.567,29.6938,0.578031,6,-50.534088,False,87.8278,29.6938,2.521974,2.0,5.0945,8.0245,0.728466,4.0,1.007,15.0407,0.211827,4.0,1.5322,13.0695,0.250867,1.0,2.2548,12.8603,0.359318,4.0,-16.567,16.567,-1.351823,9.0,10.0054,1.5229,2.559416,1.0,-6.9527,16.734,-0.655796,2.0
